date,open,high,low,close,adj_close,volume
7/13/22,142.990005,146.449997,142.119995,145.490005,144.826447,71185600
7/14/22,144.080002,148.949997,143.25,148.470001,147.792862,78140700
7/15/22,149.779999,150.860001,148.199997,150.169998,149.485092,76259900
7/18/22,150.740005,151.570007,146.699997,147.070007,146.399261,81420900
7/19/22,147.919998,151.229996,146.910004,151,150.31131,82982400
7/20/22,151.119995,153.720001,150.369995,153.039993,152.34201,64823400
7/21/22,154.5,155.570007,151.940002,155.350006,154.641479,65086600
7/22/22,155.389999,156.279999,153.410004,154.089996,153.387222,66675400
7/25/22,154.009995,155.039993,152.279999,152.949997,152.252426,53623900
7/26/22,152.259995,153.089996,150.800003,151.600006,150.908585,55138700
7/27/22,152.580002,157.330002,152.160004,156.789993,156.074905,78620700
7/28/22,156.979996,157.639999,154.410004,157.350006,156.63237,81378700
7/29/22,161.240005,163.630005,159.5,162.509995,161.768814,101786900
8/1/22,161.009995,163.589996,160.889999,161.509995,160.773376,67829400
8/2/22,160.100006,162.410004,159.630005,160.009995,159.280212,59907000
8/3/22,160.839996,166.589996,160.75,166.130005,165.372314,82507500
8/4/22,166.009995,167.190002,164.429993,165.809998,165.053772,55474100
8/5/22,163.210007,165.850006,163,165.350006,164.824509,56697000
8/8/22,166.369995,167.809998,164.199997,164.869995,164.346024,60276900
8/9/22,164.020004,165.820007,163.25,164.919998,164.395859,63135500
8/10/22,167.679993,169.339996,166.899994,169.240005,168.702148,70170500
8/11/22,170.059998,170.990005,168.190002,168.490005,167.954529,57149200
8/12/22,169.820007,172.169998,169.399994,172.100006,171.553055,68039400
8/15/22,171.520004,173.389999,171.350006,173.190002,172.639587,54091700
8/16/22,172.779999,173.710007,171.660004,173.029999,172.480087,56377100
8/17/22,172.770004,176.149994,172.570007,174.550003,173.99527,79542000
8/18/22,173.75,174.899994,173.119995,174.149994,173.596527,62290100
8/19/22,173.029999,173.740005,171.309998,171.520004,170.974899,70346300
8/22/22,169.690002,169.860001,167.139999,167.570007,167.03746,69026800
8/23/22,167.080002,168.710007,166.649994,167.229996,166.698532,54147100
8/24/22,167.320007,168.110001,166.25,167.529999,166.997574,53841500
8/25/22,168.779999,170.139999,168.350006,170.029999,169.489624,51218200
8/26/22,170.570007,171.050003,163.559998,163.619995,163.099991,78961000
8/29/22,161.149994,162.899994,159.820007,161.380005,160.867126,73314000
8/30/22,162.130005,162.559998,157.720001,158.910004,158.404984,77906200
8/31/22,160.309998,160.580002,157.139999,157.220001,156.720337,87991100
9/1/22,156.639999,158.419998,154.669998,157.960007,157.457993,74229900
9/2/22,159.75,160.360001,154.970001,155.809998,155.314819,76957800
9/6/22,156.470001,157.089996,153.690002,154.529999,154.038879,73714800
9/7/22,154.820007,156.669998,153.610001,155.960007,155.464355,87449600
9/8/22,154.639999,156.360001,152.679993,154.460007,153.969116,84923800
9/9/22,155.470001,157.820007,154.75,157.369995,156.869858,68028800
9/12/22,159.589996,164.259995,159.300003,163.429993,162.910599,104956000
9/13/22,159.899994,160.539993,153.369995,153.839996,153.351074,122656600
9/14/22,154.789993,157.100006,153.610001,155.309998,154.816406,87965400
9/15/22,154.649994,155.240005,151.380005,152.369995,151.885742,90481100
9/16/22,151.210007,151.350006,148.369995,150.699997,150.221054,162278800
9/19/22,149.309998,154.559998,149.100006,154.479996,153.989029,81474200
9/20/22,153.399994,158.080002,153.080002,156.899994,156.401352,107689800
9/21/22,157.339996,158.740005,153.600006,153.720001,153.231461,101696800
9/22/22,152.380005,154.470001,150.910004,152.740005,152.254578,86652500
9/23/22,151.190002,151.470001,148.559998,150.429993,149.951904,96029900
9/26/22,149.660004,153.770004,149.639999,150.770004,150.290833,93339400
9/27/22,152.740005,154.720001,149.949997,151.759995,151.277695,84442700
9/28/22,147.639999,150.639999,144.839996,149.839996,149.363785,146691400
9/29/22,146.100006,146.720001,140.679993,142.479996,142.027176,128138200
9/30/22,141.279999,143.100006,138,138.199997,137.760773,124925300
10/3/22,138.210007,143.070007,137.690002,142.449997,141.997269,114311700
10/4/22,145.029999,146.220001,144.259995,146.100006,145.635681,87830100
10/5/22,144.070007,147.380005,143.009995,146.399994,145.934708,79471000
10/6/22,145.809998,147.539993,145.220001,145.429993,144.967804,68402200
10/7/22,142.539993,143.100006,139.449997,140.089996,139.644775,85925600
10/10/22,140.419998,141.889999,138.570007,140.419998,139.973724,74899000
10/11/22,139.899994,141.350006,138.220001,138.979996,138.5383,77033700
10/12/22,139.130005,140.360001,138.160004,138.339996,137.90033,70433700
10/13/22,134.990005,143.589996,134.369995,142.990005,142.535583,113224000
10/14/22,144.309998,144.520004,138.190002,138.380005,137.940216,88598000
10/17/22,141.070007,142.899994,140.270004,142.410004,141.957413,85250900
10/18/22,145.490005,146.699997,140.610001,143.75,143.293152,99136600
10/19/22,141.690002,144.949997,141.5,143.860001,143.402802,61758300
10/20/22,143.020004,145.889999,142.649994,143.389999,142.934296,64522000
10/21/22,142.869995,147.850006,142.649994,147.270004,146.801971,86548600
10/24/22,147.190002,150.229996,146,149.449997,148.975021,75981900
10/25/22,150.089996,152.490005,149.360001,152.339996,151.85585,74732300
10/26/22,150.960007,151.990005,148.039993,149.350006,148.875351,88194300
10/27/22,148.070007,149.050003,144.130005,144.800003,144.339813,109180200
10/28/22,148.199997,157.5,147.820007,155.740005,155.245056,164762400
10/31/22,153.160004,154.240005,151.919998,153.339996,152.852661,97943200
11/1/22,155.080002,155.449997,149.130005,150.649994,150.171204,80379300
11/2/22,148.949997,152.169998,145,145.029999,144.569077,93604600
11/3/22,142.059998,142.800003,138.75,138.880005,138.438629,97918500
11/4/22,142.089996,142.669998,134.380005,138.380005,138.169037,140814800
11/7/22,137.110001,139.149994,135.669998,138.919998,138.708206,83374600
11/8/22,140.410004,141.429993,137.490005,139.5,139.287338,89908500
11/9/22,138.5,138.550003,134.589996,134.869995,134.664383,74917800
11/10/22,141.240005,146.869995,139.5,146.869995,146.646088,118854000
11/11/22,145.820007,150.009995,144.369995,149.699997,149.471771,93979700
11/14/22,148.970001,150.279999,147.429993,148.279999,148.05394,73374100
11/15/22,152.220001,153.589996,148.559998,150.039993,149.811249,89868300
11/16/22,149.130005,149.869995,147.289993,148.789993,148.563156,64218300
11/17/22,146.429993,151.479996,146.149994,150.720001,150.490234,80389400
11/18/22,152.309998,152.699997,149.970001,151.289993,151.059357,74829600
11/21/22,150.160004,150.369995,147.720001,148.009995,147.784348,58724100
11/22/22,148.130005,150.419998,146.929993,150.179993,149.951035,51804100
11/23/22,149.449997,151.830002,149.339996,151.070007,150.839706,58301400
11/25/22,148.309998,148.880005,147.119995,148.110001,147.884201,35195900
11/28/22,145.139999,146.639999,143.380005,144.220001,144.000137,69246000
11/29/22,144.289993,144.809998,140.350006,141.169998,140.954788,83763800
11/30/22,141.399994,148.720001,140.550003,148.029999,147.804321,111380900
12/1/22,148.210007,149.130005,146.610001,148.309998,148.083893,71250400
12/2/22,145.960007,148,145.649994,147.809998,147.584656,65447400
12/5/22,147.770004,150.919998,145.770004,146.630005,146.406464,68826400
